indicator,unit,time,regioncode,regionname,numvalue
Notification rate ,N/1000000,2000-01-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-01-01,IE,Ireland,5559136.63
Notification rate ,N/1000000,2000-01-01,IT,Italy,948641.1900000001
Notification rate ,N/1000000,2000-01-01,NL,Netherlands,12796308.610000001
Notification rate ,N/1000000,2000-01-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-01-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-01-01,SE,Sweden,3498308.28
Notification rate ,N/1000000,2000-01-01,UK,United Kingdom,170110.71
Notification rate ,N/1000000,2000-02-01,DK,Denmark,0.0
Notification rate ,N/1000000,2000-02-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-02-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-02-01,IE,Ireland,21442384.18
Notification rate ,N/1000000,2000-02-01,IT,Italy,1844580.0999999999
Notification rate ,N/1000000,2000-02-01,NL,Netherlands,3593052.17
Notification rate ,N/1000000,2000-02-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-02-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-02-01,SE,Sweden,2595519.0500000003
Notification rate ,N/1000000,2000-02-01,UK,United Kingdom,578376.4099999999
Notification rate ,N/1000000,2000-03-01,DK,Denmark,187616.55
Notification rate ,N/1000000,2000-03-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-03-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-03-01,IE,Ireland,35737306.96
Notification rate ,N/1000000,2000-03-01,IT,Italy,3021597.88
Notification rate ,N/1000000,2000-03-01,NL,Netherlands,3719124.1700000004
Notification rate ,N/1000000,2000-03-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-03-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-03-01,SE,Sweden,338545.95999999996
Notification rate ,N/1000000,2000-03-01,UK,United Kingdom,119077.48999999999
Notification rate ,N/1000000,2000-04-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-04-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-04-01,IE,Ireland,123359889.24
Notification rate ,N/1000000,2000-04-01,IT,Italy,3127002.46
Notification rate ,N/1000000,2000-04-01,NL,Netherlands,252144.00999999998
Notification rate ,N/1000000,2000-04-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-04-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-04-01,SE,Sweden,0.0
Notification rate ,N/1000000,2000-04-01,UK,United Kingdom,340221.42
Notification rate ,N/1000000,2000-05-01,DK,Denmark,0.0
Notification rate ,N/1000000,2000-05-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-05-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-05-01,IE,Ireland,79680958.5
Notification rate ,N/1000000,2000-05-01,IT,Italy,5656712.319999999
Notification rate ,N/1000000,2000-05-01,NL,Netherlands,63035.99999999999
Notification rate ,N/1000000,2000-05-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-05-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-05-01,SE,Sweden,0.0
Notification rate ,N/1000000,2000-05-01,UK,United Kingdom,357232.49
Notification rate ,N/1000000,2000-06-01,DK,Denmark,0.0
Notification rate ,N/1000000,2000-06-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-06-01,FI,Finland,193374.88999999998
Notification rate ,N/1000000,2000-06-01,IE,Ireland,52149996.09
Notification rate ,N/1000000,2000-06-01,IT,Italy,5041852.289999999
Notification rate ,N/1000000,2000-06-01,NL,Netherlands,63035.99999999999
Notification rate ,N/1000000,2000-06-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-06-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-06-01,UK,United Kingdom,68044.28
Notification rate ,N/1000000,2000-07-01,DK,Denmark,0.0
Notification rate ,N/1000000,2000-07-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-07-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-07-01,IE,Ireland,50296950.54
Notification rate ,N/1000000,2000-07-01,IT,Italy,2318900.6999999997
Notification rate ,N/1000000,2000-07-01,NL,Netherlands,63035.99999999999
Notification rate ,N/1000000,2000-07-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-07-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-07-01,SE,Sweden,0.0
Notification rate ,N/1000000,2000-07-01,UK,United Kingdom,102066.42
Notification rate ,N/1000000,2000-08-01,DK,Denmark,750466.22
Notification rate ,N/1000000,2000-08-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-08-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-08-01,IE,Ireland,23824871.31
Notification rate ,N/1000000,2000-08-01,IT,Italy,1001343.4800000001
Notification rate ,N/1000000,2000-08-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2000-08-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-08-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-08-01,SE,Sweden,0.0
Notification rate ,N/1000000,2000-08-01,UK,United Kingdom,17011.07
Notification rate ,N/1000000,2000-09-01,DK,Denmark,750466.22
Notification rate ,N/1000000,2000-09-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-09-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-09-01,IE,Ireland,12441877.24
Notification rate ,N/1000000,2000-09-01,IT,Italy,579725.17
Notification rate ,N/1000000,2000-09-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2000-09-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-09-01,SE,Sweden,112848.65
Notification rate ,N/1000000,2000-09-01,UK,United Kingdom,68044.28
Notification rate ,N/1000000,2000-10-01,DK,Denmark,562849.6699999999
Notification rate ,N/1000000,2000-10-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-10-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-10-01,IE,Ireland,8206344.56
Notification rate ,N/1000000,2000-10-01,IT,Italy,562157.74
Notification rate ,N/1000000,2000-10-01,NL,Netherlands,0.0
Notification rate ,N/1000000,2000-10-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-10-01,PT,Portugal,0.0
Notification rate ,N/1000000,2000-10-01,SE,Sweden,112848.65
Notification rate ,N/1000000,2000-10-01,UK,United Kingdom,51033.21
Notification rate ,N/1000000,2000-11-01,DK,Denmark,0.0
Notification rate ,N/1000000,2000-11-01,EL,Greece,0.0
Notification rate ,N/1000000,2000-11-01,FI,Finland,0.0
Notification rate ,N/1000000,2000-11-01,IE,Ireland,5029695.05
Notification rate ,N/1000000,2000-11-01,IT,Italy,562157.74
Notification rate ,N/1000000,2000-11-01,NL,Netherlands,126071.99999999999
Notification rate ,N/1000000,2000-11-01,NO,Norway,0.0
Notification rate ,N/1000000,2000-11-01,PT,Portugal,0.0
